osm_id,name,lon,lat
2914311770,,12.4004661732015,50.1469681142846
5844818156,,12.6406209727742,50.1806878155113
5027298557,,13.2847576777575,49.4797889812722
5136138675,,13.3921488445228,49.2660857757387
4784712133,Kolombina,13.3789799017837,49.748360866764
5734127458,,13.7695337903272,49.8575925030899
2739189528,,12.8791690456298,50.2267184693384
3781874488,,12.9676789725957,50.4230671107794
5085959612,Zmrzlina Rebeka,13.8539273671668,50.017544765895
5317875943,,14.2594104472486,48.62082778781
5810543916,,14.4868401616642,48.9008034763877
4709940324,Zmrzlina Bavorovice,14.4424315862676,49.0244689900818
5243384672,,14.510634916573,48.9842455728353
5867096759,,14.5763490152261,48.9652575979194
5731989365,,14.6194288026544,48.9331304628898
4364404656,Zmrzlina,14.6096138098601,49.0149084809296
2432249774,Zmrzlina,14.6102323897647,49.018145106759
1861339405,,14.4434121872317,49.0540404665855
5884857122,Zmrzlina od Marušky,14.5797432096956,49.1688999130328
5635866368,Yopi,14.9846210947705,48.7727271854928
2463833096,Franzi´s Eissallon,14.9856379876721,48.7728965064948
5613499031,Jadranská zmrzlina,15.1021564868817,49.0191588177902
1855596074,,16.0524132590443,48.8529566821661
4345524528,,15.8274546303123,49.1976514635395
4349032202,,15.8651684212224,49.213999977608
4317439863,,16.5071637222314,49.2184208767108
394041970,,16.6158005828011,49.1888261625952
4379721244,Zmrzlina,16.6581672875569,49.2062907854604
2081653364,,14.4731245940747,49.2998097082694
4918531361,,14.5894410621768,49.8770295014858
4911557252,,14.5899038742112,49.832648187218
4563076625,,15.4572323115942,49.5630832180958
5322084721,Branko super Eis,14.1833476666909,49.934913116205
5773708021,La Zmrzka,14.303791624029,50.0461434963982
3694693790,Hájek & Hájková,14.4095385144982,50.0616162154499
5158952843,Angelato,14.3760218322585,50.0847737758072
3688009384,Angelato Café,14.4045631952971,50.082148111781
4459214386,,14.0881577774407,50.1371030094472
3572445093,Ovocný světozor,14.4000097249534,50.0981277870821
1271582194,Puro,14.4150439295484,50.0682790083376
4423295312,Baštova zmrzlina,14.4404210668302,50.0641348811825
5872057392,Zmrzlinárství,14.4181072744988,50.0856735965307
3620482766,Angelato Café,14.421822886177,50.084807380331
4989610727,Puro,14.4182061790116,50.0881859845518
3785979001,Aldolce pasticceria e gelateria italiana,14.4216787065739,50.0902348645872
4213598530,,14.4508708990358,50.0808356005296
1202065741,,14.503200010124,50.0340959839973
5861364701,Fruitisimo,14.5179612167041,50.053547186926
5188010993,Bertíkova cukrárna,14.5689548922909,50.0441748818927
5612300940,Yobar,14.4910113090229,50.1041352990565
4548473144,Zmrzlinka,14.6628870503118,50.1318200733817
5909534289,,14.6758596213298,50.1956662031367
5650023325,,14.236354556661,50.2824983997992
3653330952,Zmrzlina Dubá,14.539759286231,50.5401450162989
5618266466,,14.5974006745833,50.6159078852551
4810900053,,15.0296486093978,49.9561617103686
4771955726,,15.0214725030079,50.2872404792693
842666671,Cukrárna Stáza,15.1770363658732,50.4673709059047
5037299122,,16.0166261747555,49.3521568599403
4331286690,,16.1664515097543,49.4773845759533
5154242470,zmrzlina,15.5799366996817,49.6067972025379
4194897234,,15.6707837735223,49.7196185868036
5628307166,,15.7973559478971,49.6918505073402
5749865303,,15.576124788605,49.8734984782444
4213101836,,15.6473381937645,49.840800302415
5013361542,,16.089869772457,49.6678047902167
4632823295,,16.5191868638256,49.229672460878
4632823290,Zmrzlina u Jedničky,16.5197394175569,49.2296242989037
1845817007,U kruháče,16.5740665615,49.2403321725909
5647979421,,16.5731659105961,49.2415511954761
2752792392,,16.5377030282934,49.452406275322
4172830611,,15.7740080150106,49.9907880709777
2863676201,Zmrzlina Černá za bory,15.8230079696559,50.0255519780215
5016337321,Točená zmrzlina,15.9116678254427,50.1318376941187
5116684234,Zmrzlina z Rotundy,15.828603126403,50.2099451884757
4771418218,Ice&Café Tiébélé,15.7992504948313,50.4330918801488
2382994905,,15.4988800047965,50.4695350945476
4340889627,,15.910098917799,50.3466126161673
4340889628,,15.9306759073601,50.3610378120968
1411182172,,16.0603488864326,50.4084123058723
1772884853,zmrzlina,16.4655879840833,50.1654200046246
5021912831,,16.7599934809685,50.0839997700647
4297693901,,16.2329264814531,50.5389923860113
4884998136,,17.0068065035956,48.8125736780042
4912974539,Točená Zmrzlina,16.9802594903193,48.827998780341
3363350713,,17.0987156555967,48.9172254034383
5983142157,Cukrárna Blanka Mezírková,17.4777405657839,49.0402715614476
5983608612,Cukrárna a vinárna u Ševců,17.4461231915494,49.0757960055398
5983504101,Cukrárna kavárna anděl,17.444111144976,49.0790495004334
4320386637,,17.7595805183063,49.1009337183254
4978673541,Zmrzlina u Alánů,16.9510993677131,49.2762998930563
4895124013,,17.5194060456288,49.5100278862165
2213447429,,17.2748690844371,49.5931561660585
5602850553,,17.3390294569747,49.6291610681988
5602849858,U Plameňáků,17.3419497901319,49.6352218911886
4376858065,,17.606207646419,49.3452572831809
4376858068,,17.6062114193432,49.345298192267
4248312731,,17.6799079476109,49.346385284631
4362398185,,17.7011680161141,49.3942107031823
4369954728,,17.6273329676295,49.5174451919472
5518984373,Občerstvení Radek Tomaník,17.9548922273796,49.2339849670867
4226017249,,17.957995188034,49.41811020308
1814161552,,18.2115374904544,49.5472266143119
2831630575,Česká zmrzlina z Opočna,18.1422523190524,49.6413746865697
4610698947,Cukrárna Oáza,18.1434123135788,49.6408938910829
5484588310,,18.2473226882811,49.7575525822432
3163838859,Zmrzlina,17.041385982648,50.0325706171204
3469690082,,17.2052333005796,50.2301586049668
